epoch,step,d_loss,g_loss,D_real,D_fake
9,32,1.308198,0.863090,0.519574,0.458209
9,33,1.294943,0.818467,0.481429,0.420832
9,34,1.329435,0.782444,0.502750,0.464767
9,35,1.346080,0.850281,0.497880,0.467555
9,36,1.336368,0.891347,0.464712,0.425392
9,37,1.308031,0.882312,0.462091,0.397502
9,38,1.297269,0.741898,0.487430,0.412923
9,39,1.290898,0.913723,0.582042,0.504208
9,40,1.241407,0.925672,0.510860,0.396265
9,41,1.277653,0.866300,0.511721,0.433414
9,42,1.376686,0.903025,0.519124,0.504074
9,43,1.447648,0.821972,0.422047,0.440758
9,44,1.394147,0.827398,0.463335,0.472392
9,45,1.484416,0.869785,0.435708,0.472426
9,46,1.352764,0.879208,0.456546,0.427045
9,47,1.372982,0.967926,0.432787,0.421087
9,48,1.350418,0.996793,0.412743,0.375647
9,49,1.364270,0.939093,0.405325,0.358291
10,1,1.314160,0.871764,0.439849,0.379933
10,2,1.293310,0.898322,0.479432,0.420011
10,3,1.262518,0.885662,0.490984,0.407816
10,4,1.288100,0.868904,0.497300,0.432063
10,5,1.334529,0.810999,0.494915,0.454574
10,6,1.461070,0.819935,0.508761,0.528579
10,7,1.521371,0.748755,0.437586,0.499947
10,8,1.475428,0.796798,0.475717,0.520908
10,9,1.347203,0.916835,0.491757,0.466979
10,10,1.272963,0.940224,0.487565,0.406776
10,11,1.294017,0.929017,0.483682,0.420873
10,12,1.312969,0.839278,0.498651,0.442858
10,13,1.341907,0.865500,0.482759,0.449855
10,14,1.365895,0.873020,0.473020,0.449490
10,15,1.347991,0.834731,0.460431,0.442169
10,16,1.380167,0.739384,0.459749,0.443879
10,17,1.436367,0.819174,0.490019,0.512191
10,18,1.380993,0.944787,0.436067,0.439349
10,19,1.436417,0.856376,0.389190,0.386890
10,20,1.399078,0.824286,0.431105,0.423587
10,21,1.363713,0.808205,0.453553,0.448166
10,22,1.375036,0.763412,0.465001,0.449651
10,23,1.351642,0.773310,0.488465,0.471338
10,24,1.336416,0.775548,0.493219,0.464203
10,25,1.353547,0.787927,0.487154,0.466270
10,26,1.354135,0.820201,0.469969,0.452312
10,27,1.370725,0.822788,0.462953,0.447761
10,28,1.369972,0.783356,0.457963,0.443577
10,29,1.359504,0.769992,0.479042,0.458089
10,30,1.330430,0.788711,0.493162,0.456332
10,31,1.348895,0.803151,0.484432,0.456034
10,32,1.382240,0.762214,0.451760,0.449028
10,33,1.347343,0.760979,0.494212,0.473500
10,34,1.376845,0.811440,0.480424,0.474251
10,35,1.380804,0.829245,0.461171,0.451728
10,36,1.366428,0.817974,0.470368,0.442862
10,37,1.398910,0.756988,0.433039,0.441751
10,38,1.420515,0.746192,0.469340,0.484643
10,39,1.470200,0.699253,0.455753,0.493754
10,40,1.430240,0.705440,0.497381,0.520171
10,41,1.443725,0.723352,0.473906,0.505223
10,42,1.402389,0.747309,0.475138,0.489972
10,43,1.383277,0.760494,0.477369,0.473638
10,44,1.383198,0.758897,0.476153,0.472425
10,45,1.362029,0.757390,0.483163,0.470355
10,46,1.345128,0.762619,0.492157,0.471234
10,47,1.334687,0.762560,0.492408,0.466201
10,48,1.335289,0.772694,0.495689,0.462613
10,49,1.374313,0.768710,0.498153,0.473468
11,1,1.353396,0.756638,0.503743,0.472520
11,2,1.403313,0.778219,0.492599,0.482412
11,3,1.397507,0.787404,0.474782,0.470786
11,4,1.387089,0.789713,0.460580,0.464028
11,5,1.388860,0.800012,0.446765,0.445525
11,6,1.395932,0.776611,0.450745,0.446950
11,7,1.383318,0.762956,0.461814,0.459282
11,8,1.367916,0.776381,0.466118,0.467286
11,9,1.415590,0.749517,0.454175,0.463009
11,10,1.393268,0.731141,0.466922,0.471892
11,11,1.397286,0.723417,0.476150,0.483223
11,12,1.391371,0.721533,0.483154,0.487575
11,13,1.391717,0.714978,0.482235,0.487811
11,14,1.385776,0.706612,0.485671,0.489790
11,15,1.404306,0.712281,0.481570,0.494336
11,16,1.394754,0.701646,0.488390,0.495160
11,17,1.408698,0.701053,0.490859,0.501541
11,18,1.390372,0.703846,0.493949,0.496523
11,19,1.378707,0.715716,0.498895,0.493245
11,20,1.379930,0.715739,0.497981,0.492445
11,21,1.401035,0.713363,0.490793,0.494678
11,22,1.376533,0.726463,0.490733,0.490552
11,23,1.388341,0.726711,0.484784,0.484182
11,24,1.387372,0.732126,0.479651,0.485815
11,25,1.391481,0.723711,0.484662,0.483345
11,26,1.378247,0.725613,0.487959,0.485350
11,27,1.381168,0.730791,0.488923,0.484508
11,28,1.372065,0.736985,0.486052,0.480575
11,29,1.380382,0.735794,0.486296,0.475627
11,30,1.363789,0.738011,0.488897,0.474765
11,31,1.360139,0.743048,0.486789,0.474326
11,32,1.373764,0.745787,0.481556,0.473281
11,33,1.375462,0.730884,0.477541,0.471674
11,34,1.387552,0.714139,0.484890,0.482723
11,35,1.374372,0.707784,0.498948,0.489981
11,36,1.361313,0.697166,0.505366,0.493377
11,37,1.360886,0.690689,0.514099,0.498846
11,38,1.354932,0.685327,0.528280,0.506628
11,39,1.368117,0.690195,0.527079,0.509618
11,40,1.375919,0.703273,0.526202,0.509269
11,41,1.394647,0.718636,0.497839,0.497312
11,42,1.361198,0.710903,0.504694,0.490843
11,43,1.371049,0.721516,0.504798,0.493421
11,44,1.367208,0.737941,0.494292,0.483433
11,45,1.362537,0.759611,0.486204,0.476541
11,46,1.368215,0.766755,0.479764,0.465298
11,47,1.365354,0.773340,0.473294,0.461616
11,48,1.361650,0.776611,0.473009,0.456919
11,49,1.369011,0.769700,0.472913,0.457596
12,1,1.367129,0.749754,0.476443,0.462702
12,2,1.377288,0.742017,0.480272,0.471170
12,3,1.376410,0.742198,0.483945,0.478334
12,4,1.376170,0.751698,0.489898,0.480097
12,5,1.356672,0.764980,0.488635,0.472756
12,6,1.356983,0.776643,0.478715,0.460305
12,7,1.373568,0.773530,0.469935,0.456624
12,8,1.373889,0.742812,0.472679,0.462870
12,9,1.357572,0.721663,0.493372,0.473775
12,10,1.360512,0.750550,0.499770,0.484607
12,11,1.363712,0.759158,0.489216,0.470930
12,12,1.347118,0.767831,0.489515,0.467738
12,13,1.356971,0.752279,0.487080,0.469062
12,14,1.362406,0.742007,0.492632,0.477731
12,15,1.384765,0.745028,0.479276,0.479460
12,16,1.387117,0.702583,0.484594,0.484070
12,17,1.379802,0.701533,0.504511,0.499645
12,18,1.391967,0.729137,0.514190,0.514410
12,19,1.385881,0.754938,0.495467,0.494139
12,20,1.389349,0.759385,0.476925,0.473146
12,21,1.389114,0.795639,0.469597,0.469825
12,22,1.373094,0.831264,0.455666,0.451721
12,23,1.370832,0.844256,0.439265,0.438519
12,24,1.401869,0.804029,0.431392,0.426980
12,25,1.369023,0.777710,0.450885,0.447776
12,26,1.381976,0.754057,0.461275,0.458191
12,27,1.369869,0.740560,0.479548,0.470428
12,28,1.378526,0.741289,0.482666,0.481391
12,29,1.384029,0.733732,0.481706,0.476771
12,30,1.367688,0.741800,0.490695,0.485722
12,31,1.389728,0.742903,0.482761,0.481963
12,32,1.390522,0.751932,0.479590,0.482124
12,33,1.384673,0.752541,0.480332,0.477065
12,34,1.366452,0.776764,0.477339,0.468555
12,35,1.368876,0.790890,0.464614,0.454723
12,36,1.359400,0.799044,0.459536,0.447780
12,37,1.355539,0.791936,0.464675,0.445523
12,38,1.366871,0.765769,0.464385,0.449666
12,39,1.342863,0.751536,0.486814,0.464625
